DateTime;DietCode;OUT;PV;SP
12/15/2022 7:13:03 PM;BK32993M;36,06193542;7679,477539;7700
12/15/2022 7:28:03 PM;BK32993M;35,37081909;7836,222656;7700
12/15/2022 7:43:03 PM;BK32993M;35,15582657;7915,776367;7700
12/15/2022 7:58:03 PM;BK32993M;35,80286789;7779,771484;7700
12/15/2022 8:13:03 PM;BK32993M;36,04000092;7710,18457;7700
12/15/2022 8:28:03 PM;BK32993M;35,19429779;7822,568359;7700
12/15/2022 8:43:03 PM;BK32993M;36,29595947;7596,515625;7700
12/15/2022 8:58:03 PM;BK32993M;36,00583649;7707,044922;7700
12/15/2022 9:13:03 PM;BK32993M;35,48350143;7839,107422;7700
12/15/2022 9:28:03 PM;BK32993M;35,59702301;7760,34668;7700
12/15/2022 9:43:03 PM;BK32993M;35,89620209;7709,666504;7700
12/15/2022 9:58:03 PM;BK32993M;35,28458786;7811,793945;7700
12/15/2022 10:13:03 PM;BK32993M;35,08736801;7844,629883;7700
12/15/2022 10:28:03 PM;BK32993M;35,87099838;7664,517578;7700
12/15/2022 10:43:03 PM;BK32993M;34,99026489;7769,276855;7700
12/15/2022 10:58:03 PM;BK32993M;35,10709381;7728,05957;7700
12/15/2022 11:13:03 PM;BK32993M;35,46417618;7688,12793;7700
12/15/2022 11:28:03 PM;BK32993M;35,46055603;7695,224609;7700
12/15/2022 11:43:03 PM;BK32993M;35,08951187;7781,351074;7700
12/15/2022 11:58:03 PM;BK32993M;35,28490448;7772,685547;7700
12/16/2022 12:13:03 AM;BK32993M;35,28221893;7779,253418;7700
12/16/2022 12:28:03 AM;BK32993M;34,35227203;7832,016602;7700
12/21/2022 8:58:03 AM;BK32993M;34,42835236;7766,12793;7700
12/21/2022 9:13:03 AM;BK32993M;33,8877182;7778,191895;7700
12/21/2022 9:28:03 AM;BK32993M;33,60108566;7757,97998;7700
12/21/2022 9:43:03 AM;BK32993M;35,16776657;7605,954102;7700
12/21/2022 9:58:03 AM;BK32993M;34,50624084;7627,76123;7700
12/21/2022 10:13:03 AM;BK32993M;34,12553406;7719,378906;7700
12/21/2022 10:28:03 AM;BK32993M;34,99298477;7698,633789;7700
12/21/2022 10:43:03 AM;BK32993M;34,22741318;7718,336914;7700
12/21/2022 10:58:03 AM;BK32993M;33,7917099;7633,794922;7700
12/21/2022 11:13:03 AM;BK32993M;34,45923233;7772,416504;7700
12/21/2022 11:28:03 AM;BK32993M;33,92056656;7793,944336;7700
12/21/2022 11:43:03 AM;BK32993M;33,98104858;7656,105469;7700
