OUT;PV;SP;Year;Month;Day;Hour;Minute
61,19226837;9188,978516;9300;2023;11;6;21;53
61,19226837;9188,978516;9300;2023;11;6;21;53
61,19226837;9188,978516;9300;2023;11;6;21;53
61,19226837;9188,978516;9300;2023;11;6;21;53
61,19226837;9188,978516;9300;2023;11;6;21;54
61,19226837;9188,978516;9300;2023;11;6;21;54
61,19226837;9188,978516;9300;2023;11;6;21;54
61,19226837;9188,978516;9300;2023;11;6;21;54
61,11095047;9224,68457;9300;2023;11;6;21;54
61,34009552;9192,132813;9300;2023;11;6;21;54
61,49811935;9189,501953;9300;2023;11;6;21;54
60,08070374;9565,691406;9300;2023;11;6;21;54
60,61979294;9334,675781;9300;2023;11;6;21;54
60,60493851;9326,273438;9300;2023;11;6;21;54
60,82953644;9269,583984;9300;2023;11;6;21;54
61,48790741;9099,732422;9300;2023;11;6;21;54
61,41136551;9190,041016;9300;2023;11;6;21;55
60,40673828;9475,90332;9300;2023;11;6;21;55
60,17741394;9465,408203;9300;2023;11;6;21;55
60,62511063;9291,889648;9300;2023;11;6;21;55
61,44242477;9105,244141;9300;2023;11;6;21;55
60,59363937;9393,478516;9300;2023;11;6;21;55
60,57534027;9393,478516;9300;2023;11;6;21;55
60,57534027;9393,478516;9300;2023;11;6;21;55
60,57534027;9393,478516;9300;2023;11;6;21;55
60,57534027;9393,478516;9300;2023;11;6;21;55
60,57534027;9393,478516;9300;2023;11;6;21;55
60,57534027;9393,478516;9300;2023;11;6;21;55
60,57534027;9393,478516;9300;2023;11;6;21;56
60,57534027;9393,478516;9300;2023;11;6;21;56
60,57534027;9393,478516;9300;2023;11;6;21;56
60,57534027;9393,478516;9300;2023;11;6;21;56
60,57534027;9393,478516;9300;2023;11;6;21;56
60,96113205;9274,308594;9300;2023;11;6;21;56
60,97492218;9279,820313;9300;2023;11;6;21;56
60,91009521;9303,710938;9300;2023;11;6;21;56
61,15509796;9253,048828;9300;2023;11;6;21;56
60,92765427;9328,126953;9300;2023;11;6;21;56
61,18309402;9258,551758;9300;2023;11;6;21;56
60,97483063;9319,984375;9300;2023;11;6;21;56
60,67202377;9390,857422;9300;2023;11;6;21;57
60,71751022;9315,001953;9300;2023;11;6;21;57
60,91100311;9267,211914;9300;2023;11;6;21;57
61,18039322;9209,455078;9300;2023;11;6;21;57
60,8275795;9321,291016;9300;2023;11;6;21;57
61,23339462;9213,132813;9300;2023;11;6;21;57
60,91268158;9326,28418;9300;2023;11;6;21;57
60,54482651;9421,574219;9300;2023;11;6;21;57
60,54482651;9421,574219;9300;2023;11;6;21;57
60,54482651;9421,574219;9300;2023;11;6;21;57
60,54482651;9421,574219;9300;2023;11;6;21;57
60,54482651;9421,574219;9300;2023;11;6;21;57
60,54482651;9421,574219;9300;2023;11;6;21;58
60,54482651;9421,574219;9300;2023;11;6;21;58
60,54482651;9421,574219;9300;2023;11;6;21;58
60,54482651;9421,574219;9300;2023;11;6;21;58
60,54482651;9421,574219;9300;2023;11;6;21;58
60,54482651;9421,574219;9300;2023;11;6;21;58
60,54482651;9421,574219;9300;2023;11;6;21;58
61,03337479;9284,802734;9300;2023;11;6;21;58
60,93745422;9275,613281;9300;2023;11;6;21;58
61,15042877;9229,408203;9300;2023;11;6;21;58
61,65323257;9114,702148;9300;2023;11;6;21;58
61,14829636;9319,457031;9300;2023;11;6;21;58
60,84721375;9390,070313;9300;2023;11;6;21;59
60,6269989;9405,828125;9300;2023;11;6;21;59
61,06993103;9269,841797;9300;2023;11;6;21;59
60,6389122;9391,384766;9300;2023;11;6;21;59
61,15228271;9225,481445;9300;2023;11;6;21;59
61,27553558;9228,361328;9300;2023;11;6;21;59
60,94010925;9339,927734;9300;2023;11;6;21;59
60,53712463;9411,070313;9300;2023;11;6;21;59
60,51538086;9411,070313;9300;2023;11;6;21;59
60,51538086;9411,070313;9300;2023;11;6;21;59
60,51538086;9411,070313;9300;2023;11;6;21;59
60,51538086;9411,070313;9300;2023;11;6;21;59
60,51538086;9411,070313;9300;2023;11;6;22;0
60,51538086;9411,070313;9300;2023;11;6;22;0
60,51538086;9411,070313;9300;2023;11;6;22;0
60,51538086;9411,070313;9300;2023;11;6;22;0
60,51538086;9411,070313;9300;2023;11;6;22;0
60,51538086;9411,070313;9300;2023;11;6;22;0
60,51538086;9411,070313;9300;2023;11;6;22;0
61,45288849;9139,371094;9300;2023;11;6;22;0
61,39056778;9218,125977;9300;2023;11;6;22;0
61,66601181;9176,117188;9300;2023;11;6;22;0
60,77162552;9445,185547;9300;2023;11;6;22;0
60,52426529;9464,111328;9300;2023;11;6;22;0
60,7054863;9359,621094;9300;2023;11;6;22;1
61,14147568;9240,181641;9300;2023;11;6;22;1
60,77272034;9352,007813;9300;2023;11;6;22;1
60,79736328;9327,330078;9300;2023;11;6;22;1
61,4290123;9175,329102;9300;2023;11;6;22;1
61,37101364;9213,929688;9300;2023;11;6;22;1
60,68298721;9421,316406;9300;2023;11;6;22;1
60,83612442;9326,8125;9300;2023;11;6;22;1
60,92892838;9295,306641;9300;2023;11;6;22;1
61,08364868;9254,876953;9300;2023;11;6;22;1
60,93296051;9305,014648;9300;2023;11;6;22;1
60,93296051;9305,014648;9300;2023;11;6;22;1
60,93296051;9305,014648;9300;2023;11;6;22;2
60,93296051;9305,014648;9300;2023;11;6;22;2
60,93296051;9305,014648;9300;2023;11;6;22;2
60,93296051;9305,014648;9300;2023;11;6;22;2
60,93296051;9305,014648;9300;2023;11;6;22;2
60,93296051;9305,014648;9300;2023;11;6;22;2
60,93296051;9305,014648;9300;2023;11;6;22;2
60,93296051;9305,014648;9300;2023;11;6;22;2
60,93296051;9305,014648;9300;2023;11;6;22;2
60,93296051;9305,014648;9300;2023;11;6;22;2
61,05957794;9275,613281;9300;2023;11;6;22;2
60,71235657;9388,236328;9300;2023;11;6;22;2
60,4720726;9418,953125;9300;2023;11;6;22;3
61,43349457;9160,898438;9300;2023;11;6;22;3
61,46588898;9201,849609;9300;2023;11;6;22;3
60,92296982;9376,15625;9300;2023;11;6;22;3
60,73567581;9384,818359;9300;2023;11;6;22;3
60,7648201;9351,210938;9300;2023;11;6;22;3
61,07413101;9253,566406;9300;2023;11;6;22;3
60,98265839;9292,416992;9300;2023;11;6;22;3
61,27605057;9218,644531;9300;2023;11;6;22;3
61,09675217;9293,463867;9300;2023;11;6;22;3
60,95668793;9322,087891;9300;2023;11;6;22;3
60,52518082;9420,787109;9300;2023;11;6;22;3
60,67136002;9347,8125;9300;2023;11;6;22;4
60,67136002;9347,8125;9300;2023;11;6;22;4
60,67136002;9347,8125;9300;2023;11;6;22;4
60,67136002;9347,8125;9300;2023;11;6;22;4
60,67136002;9347,8125;9300;2023;11;6;22;4
60,67136002;9347,8125;9300;2023;11;6;22;4
60,67136002;9347,8125;9300;2023;11;6;22;4
60,67136002;9347,8125;9300;2023;11;6;22;4
60,67136002;9347,8125;9300;2023;11;6;22;4
60,67136002;9347,8125;9300;2023;11;6;22;4
60,67136002;9347,8125;9300;2023;11;6;22;4
60,67136002;9347,8125;9300;2023;11;6;22;4
61,41102982;9154,080078;9300;2023;11;6;22;5
60,61258698;9389,013672;9300;2023;11;6;22;5
60,51289749;9383,242188;9300;2023;11;6;22;5
60,71915054;9300,820313;9300;2023;11;6;22;5
61,22761536;9176,384766;9300;2023;11;6;22;5
61,17660522;9227,316406;9300;2023;11;6;22;5
61,29661179;9222,063477;9300;2023;11;6;22;5
60,5967865;9416,839844;9300;2023;11;6;22;5
60,67062759;9372,738281;9300;2023;11;6;22;5
60,34342194;9431,283203;9300;2023;11;6;22;5
61,23605347;9175,597656;9300;2023;11;6;22;5
61,55113983;9127,558594;9300;2023;11;6;22;5
61,45582199;9212,883789;9300;2023;11;6;22;6
60,51533508;9463,304688;9300;2023;11;6;22;6
60,33600998;9453,852539;9300;2023;11;6;22;6
60,72392654;9299,767578;9300;2023;11;6;22;6
60,72392654;9299,767578;9300;2023;11;6;22;6
60,72392654;9299,767578;9300;2023;11;6;22;6
60,72392654;9299,767578;9300;2023;11;6;22;6
60,72392654;9299,767578;9300;2023;11;6;22;6
60,72392654;9299,767578;9300;2023;11;6;22;6
60,72392654;9299,767578;9300;2023;11;6;22;6
60,72392654;9299,767578;9300;2023;11;6;22;6
60,72392654;9299,767578;9300;2023;11;6;22;6
60,72392654;9299,767578;9300;2023;11;6;22;7
60,72392654;9299,767578;9300;2023;11;6;22;7
60,72392654;9299,767578;9300;2023;11;6;22;7
61,24768448;9160,907227;9300;2023;11;6;22;7
60,38972473;9422,630859;9300;2023;11;6;22;7
60,60746765;9339,140625;9300;2023;11;6;22;7
60,75172806;9288,220703;9300;2023;11;6;22;7
61,34059906;9164,833984;9300;2023;11;6;22;7
60,99108124;9287,433594;9300;2023;11;6;22;7
61,10219955;9263,274414;9300;2023;11;6;22;7
60,74787903;9355,425781;9300;2023;11;6;22;7
60,36587524;9437,591797;9300;2023;11;6;22;7
60,59051895;9331,277344;9300;2023;11;6;22;8
60,99202347;9222,851563;9300;2023;11;6;22;8
60,94417191;9267,999023;9300;2023;11;6;22;8
60,68295288;9346,496094;9300;2023;11;6;22;8
60,43078232;9385,865234;9300;2023;11;6;22;8
60,52897263;9343,341797;9300;2023;11;6;22;8
60,52897263;9343,341797;9300;2023;11;6;22;8
60,52897263;9343,341797;9300;2023;11;6;22;8
60,52897263;9343,341797;9300;2023;11;6;22;8
60,52897263;9343,341797;9300;2023;11;6;22;8
60,52897263;9343,341797;9300;2023;11;6;22;8
60,52897263;9343,341797;9300;2023;11;6;22;8
60,52897263;9343,341797;9300;2023;11;6;22;9
60,52897263;9343,341797;9300;2023;11;6;22;9
60,52897263;9343,341797;9300;2023;11;6;22;9
60,52897263;9343,341797;9300;2023;11;6;22;9
60,52897263;9343,341797;9300;2023;11;6;22;9
60,77982712;9290,582031;9300;2023;11;6;22;9
60,9161644;9258,820313;9300;2023;11;6;22;9
60,6063652;9368,023438;9300;2023;11;6;22;9
60,82096863;9272,463867;9300;2023;11;6;22;9
60,1975975;9442,574219;9300;2023;11;6;22;9
60,59737015;9276,412109;9300;2023;11;6;22;9
60,93382645;9197,65625;9300;2023;11;6;22;9
61,43728256;9104,198242;9300;2023;11;6;22;10
60,80189133;9340,984375;9300;2023;11;6;22;10
60,3109169;9467,242188;9300;2023;11;6;22;10
60,50720596;9357,769531;9300;2023;11;6;22;10
60,98011017;9248,056641;9300;2023;11;6;22;10
60,64649963;9345,181641;9300;2023;11;6;22;10
60,73843002;9306,594727;9300;2023;11;6;22;10
60,73843002;9306,594727;9300;2023;11;6;22;10
60,73843002;9306,594727;9300;2023;11;6;22;10
60,73843002;9306,594727;9300;2023;11;6;22;10
60,73843002;9306,594727;9300;2023;11;6;22;10
60,73843002;9306,594727;9300;2023;11;6;22;10
60,73843002;9306,594727;9300;2023;11;6;22;11
60,73843002;9306,594727;9300;2023;11;6;22;11
60,73843002;9306,594727;9300;2023;11;6;22;11
60,73843002;9306,594727;9300;2023;11;6;22;11
60,73843002;9306,594727;9300;2023;11;6;22;11
60,73843002;9306,594727;9300;2023;11;6;22;11
60,57208633;9360,677734;9300;2023;11;6;22;11
60,55052185;9323,662109;9300;2023;11;6;22;11
60,90089035;9237,820313;9300;2023;11;6;22;11
61,41661835;9127,041016;9300;2023;11;6;22;11
60,55659103;9401,62207;9300;2023;11;6;22;11
60,5421524;9377,732422;9300;2023;11;6;22;11
60,47747803;9366,96875;9300;2023;11;6;22;12
60,67636871;9301,078125;9300;2023;11;6;22;12
61,17987061;9151,189453;9300;2023;11;6;22;12
61,12973022;9216,560547;9300;2023;11;6;22;12
60,51701736;9382,207031;9300;2023;11;6;22;12
60,42606735;9371,163086;9300;2023;11;6;22;12
60,41213608;9371,163086;9300;2023;11;6;22;12
60,41213608;9371,163086;9300;2023;11;6;22;12
60,41213608;9371,163086;9300;2023;11;6;22;12
60,41213608;9371,163086;9300;2023;11;6;22;12
60,41213608;9371,163086;9300;2023;11;6;22;12
60,41213608;9371,163086;9300;2023;11;6;22;12
60,41213608;9371,163086;9300;2023;11;6;22;13
60,41213608;9371,163086;9300;2023;11;6;22;13
60,41213608;9371,163086;9300;2023;11;6;22;13
60,41213608;9371,163086;9300;2023;11;6;22;13
60,41213608;9371,163086;9300;2023;11;6;22;13
60,93464661;9217,079102;9300;2023;11;6;22;13
61,41960526;9121,529297;9300;2023;11;6;22;13
60,24707794;9481,165039;9300;2023;11;6;22;13
60,61120605;9316,826172;9300;2023;11;6;22;13
60,62693405;9306,849609;9300;2023;11;6;22;13
61,06644821;9206,046875;9300;2023;11;6;22;13
