DateTime;EL02_Process_Recipe_Working,MESQuality,Density_Max;EL02_Process_Recipe_Working,Extruder,AltBom;EL02_Process_Recipe_Working,Extruder,DietCode;EL02_Process_Recipe_Working,Extruder,ProdOrderNum;EL02_Process_Recipe_Working,MESQuality,Density_Min;EL02_Process_Recipe_Working,MESQuality,Density_Target;EL02_Dry_Feed_Rate_PID,OUT;EL02_Dry_Feed_Rate_PID,PV;EL02_Dry_Feed_Rate_PID,SP
11/22/2023 6:26:14 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
11/22/2023 6:26:19 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
11/22/2023 6:26:24 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
11/22/2023 6:26:29 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
11/22/2023 6:26:34 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
11/22/2023 6:26:39 PM;376;011-00;BK32348M;9871289;312;344;42,15813446;6875,988281;7000
11/22/2023 6:26:44 PM;376;011-00;BK32348M;9871289;312;344;41,76195145;7032,444336;7000
11/22/2023 6:26:49 PM;376;011-00;BK32348M;9871289;312;344;42,03775024;6947,38916;7000
11/22/2023 6:26:54 PM;376;011-00;BK32348M;9871289;312;344;41,601017;7072,869141;7000
11/22/2023 6:26:59 PM;376;011-00;BK32348M;9871289;312;344;42,28116608;6882,545898;7000
11/22/2023 6:27:04 PM;376;011-00;BK32348M;9871289;312;344;41,85237122;7036,111328;7000
11/22/2023 6:27:09 PM;376;011-00;BK32348M;9871289;312;344;41,97067642;7003,570313;7000
11/22/2023 6:27:14 PM;376;011-00;BK32348M;9871289;312;344;41,81314087;7013,019531;7000
11/22/2023 6:27:19 PM;376;011-00;BK32348M;9871289;312;344;41,88017654;6990,713867;7000
11/22/2023 6:27:24 PM;376;011-00;BK32348M;9871289;312;344;42,37171173;6852,885742;7000
11/22/2023 6:27:29 PM;376;011-00;BK32348M;9871289;312;344;41,73475647;7079,706055;7000
11/22/2023 6:27:34 PM;376;011-00;BK32348M;9871289;312;344;41,94923782;6996,225098;7000
11/22/2023 6:27:39 PM;376;011-00;BK32348M;9871289;312;344;42,25180817;6930,066895;7000
11/22/2023 6:27:44 PM;376;011-00;BK32348M;9871289;312;344;41,90703964;7057,639648;7000
11/22/2023 6:27:49 PM;376;011-00;BK32348M;9871289;312;344;41,84220505;7056,862305;7000
11/22/2023 6:27:54 PM;376;011-00;BK32348M;9871289;312;344;42,09510422;6988,083008;7000
11/22/2023 6:27:59 PM;376;011-00;BK32348M;9871289;312;344;42,03514481;7005,664063;7000
11/22/2023 6:28:04 PM;376;011-00;BK32348M;9871289;312;344;41,95775986;7024,829102;7000
11/22/2023 6:28:09 PM;376;011-00;BK32348M;9871289;312;344;41,98765945;6999,893555;7000
11/22/2023 6:28:14 PM;376;011-00;BK32348M;9871289;312;344;41,80321884;7053,972168;7000
11/22/2023 6:28:19 PM;376;011-00;BK32348M;9871289;312;344;41,67490387;7071,562988;7000
11/22/2023 6:28:24 PM;376;011-00;BK32348M;9871289;312;344;42,00748062;6957,106445;7000
11/22/2023 6:28:29 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:28:34 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:28:39 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:28:44 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:28:49 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:28:54 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:28:59 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:29:04 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:29:09 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:29:14 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:29:19 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:29:24 PM;376;011-00;BK32348M;9871289;312;344;41,88444138;7001,727051;7000
11/22/2023 6:29:29 PM;376;011-00;BK32348M;9871289;312;344;41,99555969;6978,633789;7000
11/22/2023 6:29:34 PM;376;011-00;BK32348M;9871289;312;344;41,6835022;7069,98877;7000
11/22/2023 6:29:39 PM;376;011-00;BK32348M;9871289;312;344;42,23026276;6901,981445;7000
11/22/2023 6:29:44 PM;376;011-00;BK32348M;9871289;312;344;42,3710289;6908,808594;7000
11/22/2023 6:29:49 PM;376;011-00;BK32348M;9871289;312;344;42,31540298;6952,900391;7000
11/22/2023 6:29:54 PM;376;011-00;BK32348M;9871289;312;344;41,93938065;7059,493652;7000
11/22/2023 6:29:59 PM;376;011-00;BK32348M;9871289;312;344;42,4438324;6902,25;7000
11/22/2023 6:30:04 PM;376;011-00;BK32348M;9871289;312;344;42,15175247;7012,500977;7000
11/22/2023 6:30:09 PM;376;011-00;BK32348M;9871289;312;344;42,23512268;6975,21582;7000
